I am going	Je vais
You are going	Tu vas
He is going	Il va
She is going	Elle va
We are going	Nous allons
You are going (plural)	Vous allez
They are going	Ils vont
I eat	Je mange
You eat	Tu manges
He eats	Il mange
She eats	Elle mange
We eat	Nous mangeons
You eat (plural)	Vous mangez
They eat	Ils mangent
I drink	Je bois
You drink	Tu bois
He drinks	Il boit
She drinks	Elle boit
We drink	Nous buvons
You drink (plural)	Vous buvez
They drink	Ils boivent
I read	Je lis
You read	Tu lis
He reads	Il lit
She reads	Elle lit
We read	Nous lisons
You read (plural)	Vous lisez
They read	Ils lisent
I ride	Je monte
You ride	Tu montes
He rides	Il monte
She rides	Elle monte
We ride	Nous montons
You ride (plural)	Vous montez
They ride	Ils montent
I work	Je travaille
You work	Tu travailles
He works	Il travaille
She works	Elle travaille
We work	Nous travaillons
You work (plural)	Vous travaillez
They work	Ils travaillent
I speak	Je parle
You speak	Tu parles
He speaks	Il parle
She speaks	Elle parle
We speak	Nous parlons
You speak (plural)	Vous parlez
They speak	Ils parlent
Scene 0	Scène 0
Scene 1	Scène 1
Scene 2	Scène 2
Scene 3	Scène 3
Scene 4	Scène 4
Scene 5	Scène 5
Scene 6	Scène 6
Time to start the day!	Il est temps de commencer la journée !
Just a bit of cereal to kick things off!	Juste un peu de céréales pour commencer !
Mmm, delicious!	Mmm, délicieux !
I'm ready for anything today!	Je suis prêt pour tout aujourd'hui !
See you later!	À plus tard !
I can't believe I overslept again!	Je n'arrive pas à croire que je me sois encore réveillé en retard !
Time for breakfast!	Il est temps de prendre le petit déjeuner !
Ugh, this cereal tastes weird.	Ugh, cette céréale a un goût étrange.
I really don't feel well...	Je ne me sens vraiment pas bien...
I can't hold it in!	Je ne peux plus le retenir !
Look at me go!	Regardez-moi aller !
Whoa!	Wow !
Ouch!	Aïe !
What happened?	Que s'est-il passé ?
You took quite the tumble!	Tu as vraiment fait une chute !
I'm soaked!	Je suis trempé !
You needed a wake-up call!	Tu avais besoin d'un coup de fouet !
Where are you taking me?	Où m'emmènes-tu ?
Just a little check-up, nothing to worry about!	Juste un petit contrôle, rien d'inquiétant !
I don't like this, Betty!	Je n'aime pas ça, Betty !
Just trust me, I have everything under control!	Fais-moi confiance, j'ai tout sous contrôle !
Stay away from me!	Reste loin de moi !
Oh, don’t be so dramatic!	Oh, ne sois pas si dramatique !
Let me go!	Laisse-moi partir !
You can’t escape this time, Alfie!	Tu ne peux pas échapper cette fois, Alfie !
I can do this!	Je peux le faire !
Just a little further!	Juste un peu plus loin !
Help!	Au secours !
I won't give up!	Je ne renoncerai pas !
I'm adding just the right amount of salt	J'ajoute juste la bonne quantité de sel.
This potion is going to change everything	Cette potion va tout changer.
Rise up and take back your power!	Lève-toi et reprends ton pouvoir !
This is too loud!	C'est trop fort !
For freedom!	Pour la liberté !
We have to get out of here!	Nous devons sortir d'ici !
Can't be late again!	Je ne peux pas être en retard à nouveau !
This is my lucky day!	C'est mon jour de chance !
Ah, nothing like a good coffee to start the day.	Ah, rien de tel qu'un bon café pour commencer la journée.
Mind if I light up?	Ça te dérange si j'allume ?
Time to get these chemicals mixed perfectly.	Il est temps de bien mélanger ces produits chimiques.
This is how I handle stress.	C'est comme ça que je gère le stress.
Whoa, what was that?	Ouah, c'était quoi ça ?
You should have been more careful!	Tu aurais dû être plus prudent !
I'm in trouble!	J'ai des ennuis !
Guess I underestimated the situation.	Je suppose que j'ai sous-estimé la situation.
I love the feeling of the wind while skating!	J'adore la sensation du vent en faisant du roller !
This book is so captivating, I can’t believe I’m cycling!	Ce livre est tellement captivant, je n'arrive pas à croire que je fais du vélo !
Whoa! I didn't see that bump!	Ouah ! Je n'ai pas vu ce nid de poule !
Oh no, I can't believe I hit that pothole!	Oh non, je ne peux pas croire que j'ai heurté ce trou !
These crutches look challenging, but I’ll get used to them.	Ces béquilles semblent difficiles, mais je vais m'y habituer.
At least we can keep each other company here!	Au moins, nous pouvons nous tenir compagnie ici !
You will do everything I say	Tu feras tout ce que je dis.
I will obey you	Je t'obéirai.
Think about how powerful we can be together	Pense à quel point nous pouvons être puissants ensemble.
