love	amore
composing music	comporre musica
a charmer	un affascinatore
that's right!	esatto!
a tray	un vassoio
a politician	un politico
to fall in love	innamorarsi
that's true!	è vero!
a keyboard	una tastiera
a cocktail	un cocktail
to serve	servire
ordering a drink	ordinare una bevanda
music	musica
charm	fascino
a composer	un compositore
full of charm	pieno di fascino
to bow	chinarsi
being charming	essere affascinante
a minion	un servitore
pills	pillole
hands	mani
a heart	un cuore
a tracker	un tracciatore
a story	una storia
recruiting	reclutamento
a horse rider	un cavaliere
follow the money	seguire i soldi
beer	birra
a baby bottle	un biberon
a flashlight	una torcia
pointing the finger	puntare il dito
handwriting	calligrafia
economy	economia
a fiance	un fidanzato
drinking 	bere
a painting	un dipinto
a waiter	un cameriere
washing the dishes	lavare i piatti
 hello	ciao
a mask	una maschera
a customer	un cliente
strong	forte
a cape	un mantello
delivering a lecture	tenere una lezione
fighting for freedom	combattere per la libertà
a shepherd	un pastore
a pile of oranges	un mucchio di arance
dancing	ballando
the heart	il cuore
a blackmailer	un ricattatore
a miracle	un miracolo
a prowler	un intruso
asking questions	fare domande
blowing a kiss	lanciare un bacio
a patriot	un patriota
a loan	un prestito
a work of art	un'opera d'arte
corruption	corruzione
giving a speech	fare un discorso
ironic	ironico
an embrace	un abbraccio
serving	servire
a black bag	una borsa nera
moving ahead	andare avanti
a pharmacist	un farmacista
a romantic	un romantico
to shake hands	stringere la mano
a magician	un mago
a protector	un protettore
serving dinner	servire la cena
doing the dishes	lavare i piatti
paying the bill	pagare il conto
a sculptor	uno scultore
a creditor	un creditore
taking a picture	scattare una foto
a high five	un cinque (or "un cinque alto" for "high five")
gossip	pettegolezzo
sweet	dolce
making a toast	fare un brindisi
leaping	saltare
a king	un re
a business person	un imprenditore
a sea monster	un mostro marino
paying	pagando
a tour guide	una guida turistica
embracing	abbracciando
a lightbulb	una lampadina
the sense of hearing	il senso dell'udito
a puppet master	un burattinaio
leaving a tip	lasciare una mancia
a reward	una ricompensa
demanding payment	richiedere il pagamento
going on a date	andare a un appuntamento
a flock of sheep	un gregge di pecore
a purpose	uno scopo
a priest	un sacerdote
a dance	una danza
a troublemaker	un rompiscatole
a drug dealer	un spacciatore
a magic wand	una bacchetta magica
an introduction	un'introduzione
