test1	Translated1
test2	Translated2
hello world	Existing translation
I can’t believe I overslept!	¡No puedo creer que haya dormido tanto!
Time for some breakfast!	¡Es hora de desayunar!
Yum, this is delicious!	¡Mmm, esto está delicioso!
Bring on the day!	¡Que venga el día!
See you later, everyone!	¡Hasta luego, a todos!
I really need to get up now	Realmente necesito levantarme ahora.
Time for a quick breakfast	Tiempo para un desayuno rápido.
Ugh, what is that taste?	Uf, ¿qué es ese sabor?
I don't feel so good...	No me siento muy bien...
Oh no, this is not happening!	¡Oh no, esto no está pasando!
Whoa!	¡Vaya!
Ahh!	¡Ahh!
Ouch...	Ay...
What happened?	¿Qué pasó?
You fell off!	¡Te caíste!
I'm soaked!	¡Estoy empapado!
You needed to wake up!	¡Necesitabas despertarte!
Where are you taking me?	¿A dónde me llevas?
Just a little check-up, don’t worry!	Solo un pequeño chequeo, ¡no te preocupes!
What do you want from me?	¿Qué quieres de mí?
Just a little surprise!	¡Solo una pequeña sorpresa!
Stay away from me!	¡Mantente alejado de mí!
I just want to help you, but you make it so hard!	¡Solo quiero ayudarte, pero lo haces tan difícil!
This isn't happening!	¡Esto no está pasando!
Oh, but it is!	¡Oh, pero sí lo está!
I can do this!	¡Puedo hacer esto!
Just a little further, I see the way!	Solo un poco más, ¡veo el camino!
No!	¡No!
Help! Get it off me!	¡Ayuda! ¡Quítamelo de encima!
I won't give up now!	¡No me rendiré ahora!
I'm preparing a special recipe for change!	¡Estoy preparando una receta especial para el cambio!
These chemicals will revolutionize the way we think!	¡Estos químicos revolucionarán la forma en que pensamos!
Rise up, comrades, for a new dawn!	¡Levántense, camaradas, por un nuevo amanecer!
I can't take this anymore!	¡No puedo soportar esto más!
This will get their attention!	¡Esto llamará su atención!
We need to get out of here!	¡Necesitamos salir de aquí!
Another day at the plant!	¡Otro día en la planta!
Let's hope we don't have any incidents today.	Esperemos que no tengamos ningún incidente hoy.
Got my coffee fixed, ready to tackle the day.	Tengo mi café listo, listo para enfrentar el día.
Lighting up to keep my spirits high.	Encendiendo para mantener mi ánimo alto.
Mixing these chemicals carefully, can't afford a mistake.	Mezclando estos químicos con cuidado, no puedo permitirme un error.
Just enjoying my cigar while you work.	Solo disfrutando de mi cigarro mientras trabajas.
Uh-oh, something feels off!	¡Ay, algo se siente mal!
What's happening?!	¿¡Qué está pasando!?
This didn’t go as planned…	Esto no salió como estaba planeado...
I can't believe this happened!	¡No puedo creer que esto haya pasado!
Look at me, I'm getting the hang of this!	¡Mírame, estoy agarrando el truco de esto!
This is such a nice day to read and ride!	¡Este es un día tan bonito para leer y montar!
Whoa! Not again!	¡Vaya! ¡No otra vez!
Aah, I'm losing balance!	¡Aah, estoy perdiendo el equilibrio!
I can't believe I broke my legs!	¡No puedo creer que me rompí las piernas!
At least we can keep each other company!	¡Al menos podemos hacernos compañía!
You must believe in me, Betty	Debes creer en mí, Betty
I will do anything you say	Haré cualquier cosa que digas
Focus on my voice, let it guide you	Concéntrate en mi voz, deja que te guíe
I feel my thoughts changing	Siento que mis pensamientos cambian
Join my cause, it’s for a greater purpose	Únete a mi causa, es por un propósito mayor
I see it clearly now	Ahora lo veo claramente
Trust me, it’s the only way	Confía en mí, es el único camino
I’ll fulfill your commands, no matter the cost	Cumpliré tus órdenes, sin importar el costo
Here comes the pitch!	¡Aquí viene el lanzamiento!
I’m ready!	¡Estoy listo/a!
Oops!	¡Ups!
Ahhh!	¡Ahhh!
Are you okay?	¿Estás bien?
I feel dizzy...	Me siento mareado/a...
I didn’t mean to!	¡No lo hice a propósito!
You’ll pay for this!	¡Pagarás por esto!
Scene 0	Escena 0
Alfie is yawning in the kitchen.	Alfie está bostezando en la cocina.
Alfie is pouring a bowl of cereal in the kitchen.	Alfie está sirviendo un tazón de cereales en la cocina.
Alfie is munching in the kitchen.	Alfie está masticando en la cocina.
Alfie is feeling ready for anything in the kitchen.	Alfie se siente listo para cualquier cosa en la cocina.
Alfie is waving goodbye in the outside front door.	Alfie está despidiéndose en la puerta principal de afuera.
Scene 1	Escena 1
Alfie slowly wakes up in the bedroom.	Alfie se despierta lentamente en el dormitorio.
Alfie pours a bowl of cereal in the kitchen.	Alfie sirve un tazón de cereales en la cocina.
Alfie grimaces as he tastes something unpleasant in the kitchen.	Alfie hace una mueca al probar algo desagradable en la cocina.
